id_partida,ano_campeonato,Data,Mandante,Visitante,estado_mandante,estado_visitante,gols_mandante,gols_visitante,resultado_mandante,resultado_visitante,placar_status,Fase,tipo_fase,is_mata_mata,is_classico_estadual,total_gols,saldo_gols_mandante,saldo_gols_visitante,pontos_mandante,pontos_visitante
8776,1994,1994-08-31,Corinthians,Red Bull Bragantino,SP,SP,6.0,1.0,V,D,NORMAL,A,Fase de Grupos,False,True,7,5,-5,2,0
8777,1994,1994-08-31,Flamengo,Grêmio,RJ,RS,2.0,2.0,E,E,NORMAL,A,Fase de Grupos,False,False,4,0,0,1,1
8778,1994,1994-08-31,Atlético Mineiro,Botafogo,MG,RJ,0.0,2.0,D,V,NORMAL,B,Fase de Grupos,False,False,2,-2,2,0,2
8779,1994,1994-08-31,Vasco,Cruzeiro,RJ,MG,1.0,0.0,V,D,NORMAL,C,Fase de Grupos,False,False,1,1,-1,2,0
8780,1994,1994-08-31,Bahia,Santos,BA,SP,2.0,1.0,V,D,NORMAL,C,Fase de Grupos,False,False,3,1,-1,2,0
8781,1994,1994-08-31,Remo,Guarani,PA,SP,0.0,2.0,D,V,NORMAL,C,Fase de Grupos,False,False,2,-2,2,0,2
8782,1994,1994-08-31,Internacional,Fluminense,RS,RJ,3.0,0.0,V,D,NORMAL,D,Fase de Grupos,False,False,3,3,-3,2,0
8783,1994,1994-09-01,Criciúma,Sport,SC,PE,5.0,0.0,V,D,NORMAL,A,Fase de Grupos,False,False,5,5,-5,2,0
8784,1994,1994-09-01,São Paulo,Vitória,SP,BA,2.0,2.0,E,E,NORMAL,B,Fase de Grupos,False,False,4,0,0,1,1
8785,1994,1994-09-01,Portuguesa,Paysandu,SP,PA,3.0,1.0,V,D,NORMAL,B,Fase de Grupos,False,False,4,2,-2,2,0
8786,1994,1994-09-01,Náutico,Paraná,PE,PR,0.0,0.0,E,E,NORMAL,D,Fase de Grupos,False,False,0,0,0,1,1
8787,1994,1994-09-03,Corinthians,Flamengo,SP,RJ,1.0,0.0,V,D,NORMAL,A,Fase de Grupos,False,False,1,1,-1,2,0
8788,1994,1994-09-03,Fluminense,Palmeiras,RJ,SP,1.0,1.0,E,E,NORMAL,D,Fase de Grupos,False,False,2,0,0,1,1
8789,1994,1994-09-04,Grêmio,Sport,RS,PE,1.0,1.0,E,E,NORMAL,A,Fase de Grupos,False,False,2,0,0,1,1
8790,1994,1994-09-04,Botafogo,Paysandu,RJ,PA,5.0,2.0,V,D,NORMAL,B,Fase de Grupos,False,False,7,3,-3,2,0
8791,1994,1994-09-04,Vitória,Atlético Mineiro,BA,MG,1.0,1.0,E,E,NORMAL,B,Fase de Grupos,False,False,2,0,0,1,1
8792,1994,1994-09-04,Portuguesa,São Paulo,SP,SP,0.0,0.0,E,E,NORMAL,B,Fase de Grupos,False,True,0,0,0,1,1
8793,1994,1994-09-04,Cruzeiro,Bahia,MG,BA,2.0,1.0,V,D,NORMAL,C,Fase de Grupos,False,False,3,1,-1,2,0
8794,1994,1994-09-04,Santos,Guarani,SP,SP,1.0,0.0,V,D,NORMAL,C,Fase de Grupos,False,True,1,1,-1,2,0
8795,1994,1994-09-04,Remo,Vasco,PA,RJ,0.0,1.0,D,V,NORMAL,C,Fase de Grupos,False,False,1,-1,1,0,2
8796,1994,1994-09-04,Paraná,União São João,PR,SP,2.0,1.0,V,D,NORMAL,D,Fase de Grupos,False,False,3,1,-1,2,0
8797,1994,1994-09-07,Vitória,São Paulo,BA,SP,1.0,1.0,E,E,NORMAL,B,Fase de Grupos,False,False,2,0,0,1,1
8798,1994,1994-09-07,União São João,Palmeiras,SP,SP,0.0,1.0,D,V,NORMAL,D,Fase de Grupos,False,True,1,-1,1,0,2
8799,1994,1994-09-07,Red Bull Bragantino,Criciúma,SP,SC,1.0,0.0,V,D,NORMAL,A,Fase de Grupos,False,False,1,1,-1,2,0
8800,1994,1994-09-07,Náutico,Internacional,PE,RS,1.0,1.0,E,E,NORMAL,D,Fase de Grupos,False,False,2,0,0,1,1
8801,1994,1994-09-07,Paysandu,Atlético Mineiro,PA,MG,0.0,2.0,D,V,NORMAL,B,Fase de Grupos,False,False,2,-2,2,0,2
8802,1994,1994-09-07,Guarani,Bahia,SP,BA,1.0,1.0,E,E,NORMAL,C,Fase de Grupos,False,False,2,0,0,1,1
